thai,category,english,informal_ref,thpronun_best,thpronun_all_romans,thpronun_num_readings,thpronun_syllables,thpronun_error
สวัสดี,common,hello,sawatdee,sawatdi,sawatdi|sawatsadi,6,"[[""sa"", ""wat"", ""sa"", ""di""], [""sa"", ""wat"", ""sa"", ""di""], [""sa"", ""wat"", ""sa"", ""di""]]",
ขอบคุณ,common,thank you,khopkhun,khopkhun,khaabakhun|khaopkhun|khobakhun|khopkhun,7,"[[""kho"", ""ba"", ""khun""], [""kho"", ""ba"", ""khun""], [""kha"", ""a"", ""ba"", ""khun""]]",
ใช่,common,yes,chai,chai,chai,1,"[[""chai""]]",
ไม่,common,no,mai,mai,mai,1,"[[""mai""]]",
เป็น,common,to be,pen,pen,pen,1,"[[""pen""]]",
ได้,common,can/get,dai,dai,dai,1,"[[""dai""]]",
อะไร,common,what,arai,arai,arai,1,"[[""a"", ""rai""]]",
ทำไม,common,why,tammai,thammai,thammai,1,"[[""tham"", ""mai""]]",
คน,common,person,khon,khon,khon,1,"[[""khon""]]",
บ้าน,common,house,baan,ban,ban,1,"[[""ban""]]",
ข้าว,food,rice,khao,khao,khao,1,"[[""khao""]]",
น้ำ,food,water,nam,nam,nam,1,"[[""nam""]]",
ผัดไทย,food,pad thai,phat thai,phatthai,phatthai|phatthayai,2,"[[""phat"", ""tha"", ""yai""], [""phat"", ""thai""]]",
ต้มยำกุ้ง,food,tom yum goong,tomyamkung,tomyamkung,tomyamkung,1,"[[""tom"", ""yam"", ""kung""]]",
ส้มตำ,food,som tam,somtam,somtam,somtam,1,"[[""som"", ""tam""]]",
กาแฟ,food,coffee,kafae,kafae,kafae,1,"[[""ka"", ""fae""]]",
เบียร์,food,beer,bia,bia,bia,1,"[[""bia""]]",
ชา,food,tea,cha,cha,cha,1,"[[""cha""]]",
ไก่,food,chicken,kai,kai,kai,1,"[[""kai""]]",
หมู,food,pork,moo,mu,hamu|mu,3,"[[""mu""], [""ha"", ""mu""], [""ha"", ""mu""]]",
กรุงเทพ,places,Bangkok,krungthep,krungthep,karungathaphe|karungathep|karungthaphe|karungthep|krungathaphe|krungathep|krungthaphe|krungthep,12,"[[""krung"", ""tha"", ""phe""], [""krung"", ""thep""], [""ka"", ""rung"", ""tha"", ""phe""]]",
เชียงใหม่,places,Chiang Mai,chiangmai,chiangmai,chiangahamai|chiangamai|chianghamai|chiangmai,4,"[[""chiang"", ""mai""], [""chiang"", ""ha"", ""mai""], [""chia"", ""nga"", ""mai""]]",
ภูเก็ต,places,Phuket,phuket,phuket,phuket,1,"[[""phu"", ""ket""]]",
พัทยา,places,Pattaya,pattaya,phatya,phatthaya|phatya,3,"[[""phat"", ""tha"", ""ya""], [""phat"", ""tha"", ""ya""], [""phat"", ""ya""]]",
อยุธยา,places,Ayutthaya,ayutthaya,ayutya,ayuthaya|ayutthaya|ayutya,10,"[[""a"", ""yut"", ""tha"", ""ya""], [""a"", ""yut"", ""tha"", ""ya""], [""a"", ""yu"", ""tha"", ""ya""]]",
สุโขทัย,places,Sukhothai,sukhothai,sukhothai,sukhothai|sukhotthai,2,"[[""su"", ""khot"", ""thai""], [""su"", ""kho"", ""thai""]]",
