rank,thai_word,syllable_count,variant_count,category,difficulty,decomposition,rtgs_romanization,variants
2,ไม่,1,3,ambiguous,easy,[m/aj/],mai,maai; mai; maii
26,ดี,1,3,ambiguous,easy,[d/ii/],di,dee; di; dii
87,รถ,1,4,edge,easy,[r/o/t],rot,rod; rohd; roht; rot
152,ปลา,1,4,common,easy,[pl/aa/],pla,pla; plaa; plah; plar
155,บรรยากาศ,3,100,compound,medium,[b/a/n] | [j/aa/] | [k/aa/t],banyakat,bahnyaagaad; bahnyaagaat; bahnyaagad; bahnyaagahd; bahnyaagaht; bahnyaagard; bahnyaagart; bahnyaagat; bahnyaakaad; bahnyaakaat; bahnyaakad; bahnyaakahd; bahnyaakaht; bahnyaakard; bahnyaakart; bahnyaakat; bahnyagaad; bahnyagaat; bahnyagad; bahnyagahd; bahnyagaht; bahnyagard; bahnyagart; bahnyagat; bahnyahgaad; bahnyahgaat; bahnyahgad; bahnyahgahd; bahnyahgaht; bahnyahgard; bahnyahgart; bahnyahgat; bahnyahkaad; bahnyahkaat; bahnyahkad; bahnyahkahd; bahnyahkaht; bahnyahkard; bahnyahkart; bahnyahkat; bahnyakaad; bahnyakaat; bahnyakad; bahnyakahd; bahnyakaht; bahnyakard; bahnyakart; bahnyakat; bahnyargaad; bahnyargaat
183,หาก,1,8,common,easy,[h/aa/k],hak,haag; haak; hag; hahg; hahk; hak; harg; hark
214,เดิน,1,5,common,easy,[d/@@/n],doen,deon; dern; doen; duhn; durn
218,น่า,1,4,common,easy,[n/aa/],na,na; naa; nah; nar
256,ทำไม,2,18,variant,medium,[th/a/m] | [m/aj/],thammai,tahmmaai; tahmmai; tahmmaii; tammaai; tammai; tammaii; thahmmaai; thahmmai; thahmmaii; thammaai; thammai; thammaii; thummaai; thummai; thummaii; tummaai; tummai; tummaii
319,ครั้ง,1,6,common,medium,[khr/a/N],khrang,khrahng; khrang; khrung; krahng; krang; krung
349,จ้า,1,8,common,medium,[c/aa/],cha,cha; chaa; chah; char; ja; jaa; jah; jar
386,รัฐธรรมนูญ,5,100,compound,hard,[r/a/t] | [th/a/] | [th/a/m] | [m/a/] | [n/uu/n],ratthathammanun,radtahtahmmahnoon; radtahtahmmahnoun; radtahtahmmahnun; radtahtahmmahnuun; radtahtahmmanoon; radtahtahmmanoun; radtahtahmmanun; radtahtahmmanuun; radtahtammahnoon; radtahtammahnoun; radtahtammahnun; radtahtammahnuun; radtahtammanoon; radtahtammanoun; radtahtammanun; radtahtammanuun; radtahthahmmahnoon; radtahthahmmahnoun; radtahthahmmahnun; radtahthahmmahnuun; radtahthahmmanoon; radtahthahmmanoun; radtahthahmmanun; radtahthahmmanuun; radtahthammahnoon; radtahthammahnoun; radtahthammahnun; radtahthammahnuun; radtahthammanoon; radtahthammanoun; radtahthammanun; radtahthammanuun; radtahthummahnoon; radtahthummahnoun; radtahthummahnun; radtahthummahnuun; radtahthummanoon; radtahthummanoun; radtahthummanun; radtahthummanuun; radtahtummahnoon; radtahtummahnoun; radtahtummahnun; radtahtummahnuun; radtahtummanoon; radtahtummanoun; radtahtummanun; radtahtummanuun; radtatahmmahnoon; radtatahmmahnoun
